default,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_X2,EDUCATION_X1,EDUCATION_X2,EDUCATION_X3,EDUCATION_X4,EDUCATION_X5,EDUCATION_X6,MARRIAGE_X1,MARRIAGE_X2,MARRIAGE_X3
0,38e4,42,-1,-1,-1,-1,-2,-1,4377,-3,3885,0,1140,505,0,3888,0,1140,505,0,0,1,0,0,0,0,0,1,0,0
1,21e4,30,0,0,0,0,0,0,32903,33275,34174,34141,34456,34737,1600,1846,1209,1248,1247,1212,0,0,1,0,0,0,0,1,0,0
1,1e4,27,0,0,0,0,0,0,8257,7995,4878,5444,2639,2697,2e3,1100,600,300,300,1e3,0,0,1,0,0,0,0,0,1,0
1,24e4,37,2,0,0,0,-2,-2,118402,119764,72050,0,0,0,5598,4e3,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,12e4,36,0,0,0,0,2,2,84171,76025,78068,78589,77213,82567,3438,4e3,12242,0,6894,0,1,1,0,0,0,0,0,0,1,0
0,28e4,28,0,0,0,0,0,-1,281663,211805,96763,67554,-3,1244,80019,5e3,439,10603,1247,2187,0,1,0,0,0,0,0,0,1,0
0,36e4,38,-1,-1,-1,-1,-1,-1,7975,4062,1914,4877,2100,3602,4062,1914,4877,2100,3602,9452,0,1,0,0,0,0,0,1,0,0
0,21e4,30,1,-1,-1,-1,-1,-1,0,795,588,1488,609,768,795,588,1488,609,768,588,1,1,0,0,0,0,0,0,1,0
0,39e4,29,0,-1,0,0,0,0,9918,15918,103169,95669,88080,80576,16008,1e5,5e3,4e3,4e3,3e3,0,1,0,0,0,0,0,0,1,0
0,1e4,27,0,0,0,0,0,0,6691,7723,17734,9081,8877,9261,1142,1286,500,320,529,500,1,0,1,0,0,0,0,0,1,0
1,12e4,43,-2,-2,-2,-2,-2,-2,0,999,0,0,0,0,999,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,2e5,43,-1,-1,-1,0,0,-1,1435,1270,3783,2522,1261,1436,1270,4e3,0,0,1436,1261,0,0,0,1,0,0,0,1,0,0
0,6e4,27,0,0,0,0,2,0,12193,13983,15746,17486,17067,17255,2e3,2e3,2e3,0,620,1710,1,0,1,0,0,0,0,0,1,0
0,1e5,29,0,0,0,0,0,-1,17848,19032,19664,16407,15068,40794,1775,1407,328,935,42e3,1500,1,0,1,0,0,0,0,0,1,0
0,2e4,45,-1,2,2,0,0,0,3213,4308,4093,4866,6781,7668,1300,0,1e3,2e3,1e3,0,0,0,1,0,0,0,0,1,0,0
0,46e4,34,0,0,0,0,0,0,45358,42991,45848,50875,56479,50889,2613,7021,10019,10051,10046,5016,0,1,0,0,0,0,0,0,1,0
0,8e4,32,1,2,0,0,0,-2,82212,79682,28242,21400,0,0,7,1200,1408,0,0,0,0,0,1,0,0,0,0,0,1,0
0,8e4,26,0,0,0,0,0,0,74487,76126,69856,48816,48476,48448,7576,3e3,1800,1800,2e3,2e3,0,1,0,0,0,0,0,0,1,0
0,24e4,28,0,0,0,0,0,0,209848,214477,218142,195913,197823,189111,1e4,9e3,7e3,7e3,6625,7e3,1,1,0,0,0,0,0,0,1,0
0,2e5,38,0,0,0,0,0,0,97584,75187,72556,63524,49914,18068,3600,2500,3e3,2e3,2e3,2e3,1,0,0,1,0,0,0,1,0,0
0,23e4,29,-2,-2,-2,-2,-2,-2,200,840,0,3458,499,5180,840,0,3458,499,5180,0,0,0,1,0,0,0,0,0,1,0
0,26e4,53,2,-1,-1,-1,-1,-1,827,827,827,827,755,-72,827,827,827,755,0,1726,1,1,0,0,0,0,0,1,0,0
0,9e4,38,0,0,0,0,0,0,88758,89680,89876,49922,46302,45430,3900,3487,1629,4e3,3e3,813,1,0,1,0,0,0,0,1,0,0
0,28e4,47,0,0,0,0,0,-1,231181,26610,24910,20133,5821,143866,1610,1910,1133,821,155681,4785,1,0,1,0,0,0,0,1,0,0
0,4e5,27,1,-2,-1,0,0,-1,140,140,12527,12640,14805,238,140,12527,253,2305,238,238,1,1,0,0,0,0,0,0,1,0
0,7e4,26,0,0,0,0,0,0,69900,67591,68338,26916,27480,28043,2506,1925,1e3,997,1020,1100,0,0,1,0,0,0,0,0,1,0
0,14e4,39,-1,-1,-1,0,0,0,1007,3680,4214,3790,3357,3426,3685,4214,76,67,69,1376,1,0,1,0,0,0,0,1,0,0
0,29e4,50,-1,-1,-1,-2,-2,-2,929,1729,0,0,0,0,1732,0,0,0,0,335,0,0,1,0,0,0,0,1,0,0
0,3e4,32,0,0,0,0,0,-1,28292,30494,28317,16454,450,1400,3e3,1431,483,0,700,0,0,0,0,1,0,0,0,1,0,0
1,11e4,32,1,2,0,0,0,2,58679,56871,56279,24271,52040,25453,1210,2056,1200,2300,0,1e3,1,1,0,0,0,0,0,0,1,0
0,2e4,54,0,0,2,2,2,0,9777,10140,9360,9833,9153,9116,2e3,1e3,1e3,0,500,500,1,0,0,1,0,0,0,0,1,0
0,22e4,36,0,0,0,0,0,0,136556,139453,142295,145127,148159,151462,5100,5163,5196,5372,5761,5396,1,0,1,0,0,0,0,1,0,0
0,18e4,36,-1,-1,-2,-1,-1,-1,682,0,0,1012,0,669,0,0,1012,0,669,0,1,0,1,0,0,0,0,1,0,0
1,3e4,26,4,3,2,0,0,-2,25899,25177,22768,18600,0,0,0,600,800,0,0,0,0,1,0,0,0,0,0,0,1,0
0,15e4,32,0,0,0,0,0,0,30697,40139,49410,58549,67560,86315,1e4,1e4,1e4,1e4,2e4,1718,1,1,0,0,0,0,0,0,1,0
0,14e4,30,1,3,2,2,2,0,84014,85107,82532,81236,78306,72173,3300,0,6500,0,3e3,3e3,0,0,0,1,0,0,0,0,1,0
0,8e4,48,0,0,0,0,0,0,79518,77757,32325,25670,30089,29395,2264,1420,1002,6005,2e3,970,1,0,1,0,0,0,0,1,0,0
0,2e5,33,0,0,0,0,0,0,105775,88262,69596,32709,31816,33368,3493,2536,1065,10020,6097,5022,1,1,0,0,0,0,0,1,0,0
0,4e5,44,-1,-1,-1,-1,-1,-1,4482,-10,1903,850,808,775,0,1913,850,808,775,380,0,1,0,0,0,0,0,1,0,0
0,13e4,28,2,2,0,0,0,0,135805,125973,95602,91328,93099,95825,75,3369,3423,3400,4275,2307,1,0,1,0,0,0,0,1,0,0
0,5e4,22,0,0,0,0,0,0,38604,36684,33826,30387,28850,29022,1575,1757,1047,1042,1036,1039,1,0,1,0,0,0,0,0,1,0
1,19e4,51,0,0,0,0,0,0,86713,75143,43487,34904,108419,75455,3359,13487,1414,40710,43406,2773,0,0,1,0,0,0,0,1,0,0
1,47e4,40,0,0,0,0,0,0,17243,14722,15270,15615,16261,16969,1243,1300,600,900,1e3,1324,1,1,0,0,0,0,0,0,1,0
0,28e4,55,-1,-1,0,0,2,-1,2326,4917,4906,4707,2254,5375,4917,2453,2254,0,5375,1165,0,1,0,0,0,0,0,1,0,0
0,46e4,26,-1,-1,-1,-1,-1,-1,18738,16345,20246,9936,10833,21169,16447,20373,10018,12387,21865,13898,1,1,0,0,0,0,0,0,1,0
0,34e4,32,0,0,0,0,0,0,169246,100967,102819,105477,107454,110419,6e3,4500,5e3,4e3,5e3,4e3,1,0,1,0,0,0,0,0,1,0
0,11e4,27,0,0,0,0,0,0,103550,105089,107164,105988,108617,103497,6e3,6e3,4e3,5e3,4e3,4e3,0,0,1,0,0,0,0,0,1,0
0,9e4,23,-2,-2,-2,-2,-2,-2,3440,6140,5812,13955,22687,15621,6140,5812,13955,22687,15621,2540,1,0,1,0,0,0,0,0,1,0
0,3e4,24,1,2,2,2,2,2,7134,7872,9528,9725,9427,10118,1e3,1800,500,0,1e3,0,1,0,1,0,0,0,0,0,1,0
0,6e4,25,0,0,0,0,0,0,16313,10253,7735,6923,7035,9175,5e3,3e3,2e3,2e3,4e3,800,1,1,0,0,0,0,0,0,1,0
0,36e4,35,-1,-1,-1,-1,-1,-1,15798,16630,15687,38750,15802,15730,16713,15766,38944,15881,15809,30594,0,1,0,0,0,0,0,0,1,0
0,7e4,28,0,0,0,0,0,0,20335,21699,22460,20345,42123,19852,2e3,1500,3e3,721,1200,2e3,1,1,0,0,0,0,0,0,1,0
0,15e4,44,0,0,0,0,0,0,61951,55504,22050,17360,17360,12e3,15e3,1200,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,44e4,33,-2,-2,-2,-2,-2,-1,0,0,0,0,0,100,0,0,0,0,100,300,1,1,0,0,0,0,0,1,0,0
0,5e5,52,1,-1,-1,-1,-1,-1,-5,43528,104315,71776,60753,0,43533,104406,71776,60753,0,8200,0,1,0,0,0,0,0,1,0,0
1,26e4,29,1,2,0,0,0,0,263943,258331,261518,194791,198894,197564,0,7700,6e3,6130,7500,6500,0,0,1,0,0,0,0,0,1,0
0,2e5,32,-2,-2,-2,-2,-2,-2,2580,-35,3519,1846,1330,14470,0,3554,1855,1337,14542,2955,1,1,0,0,0,0,0,0,1,0
1,2e4,27,2,0,0,0,0,2,13747,15020,16059,16081,17423,17695,1500,1600,580,1600,700,0,0,0,1,0,0,0,0,0,1,0
0,24e4,44,-1,-1,-1,-1,-1,-1,4221,2188,2701,2427,1104,2362,2188,2701,2427,1104,2362,519,0,1,0,0,0,0,0,1,0,0
1,3e4,51,5,4,3,2,3,2,26551,25855,25146,26549,25849,25285,0,0,2113,0,0,2191,0,0,1,0,0,0,0,0,1,0
0,45e4,38,-2,-2,-2,-2,-2,-2,10972,15005,13887,17255,17515,0,15008,1200,5255,4566,0,3648,1,0,1,0,0,0,0,1,0,0
0,6e4,40,-1,-1,0,0,0,-1,24496,20329,15219,16158,14295,10930,20391,1200,3658,0,10930,11677,1,0,0,1,0,0,0,0,1,0
0,1e5,30,0,0,0,0,0,0,58335,56745,56058,51573,47665,43756,2801,2300,1613,1594,1654,1222,1,0,1,0,0,0,0,0,1,0
0,5e4,51,-1,-1,0,0,0,0,636,2228,3287,4843,6379,6878,4600,1500,2e3,2e3,1e3,3e3,0,0,0,1,0,0,0,1,0,0
1,2e4,22,2,2,2,2,0,0,5743,7487,8114,7835,8605,10948,2e3,900,0,900,2500,0,1,0,1,0,0,0,0,0,1,0
0,14e4,31,0,0,0,0,0,0,71066,55271,50706,48847,47437,42576,2042,1958,1501,1619,1514,1553,1,1,0,0,0,0,0,0,1,0
0,5e5,29,0,0,0,0,0,0,455042,364288,261185,215575,174736,118438,12564,1e4,6476,5489,5e3,5e3,1,0,1,0,0,0,0,0,1,0
1,5e4,24,2,0,0,0,0,0,43247,45036,44384,19524,35268,16099,3e3,1300,642,612,1192,600,0,0,1,0,0,0,0,0,1,0
0,22e4,44,0,0,0,0,0,2,136838,142250,149864,155828,178160,175140,1e4,1e4,1e4,25e3,0,2e4,1,0,1,0,0,0,0,1,0,0
0,36e4,34,0,0,0,0,0,0,122193,109382,109845,105271,96644,94973,5004,4031,3082,7018,2755,1813,1,0,1,0,0,0,0,0,1,0
0,43e4,29,0,0,-1,0,0,0,34785,0,18518,16574,12215,6660,0,18518,5,244,1038,41500,1,1,0,0,0,0,0,0,1,0
0,2e5,53,-1,0,-1,0,0,-1,784,1972,2577,2652,-6,1279,1188,2581,1013,0,1285,0,1,0,0,1,0,0,0,0,1,0
0,2e5,35,-1,-1,-1,-1,0,-1,1992,8287,9427,2040,16338,2076,8290,9427,2240,16e3,2076,833,1,0,1,0,0,0,0,0,0,1
0,8e4,25,0,0,0,0,0,0,78401,76930,77977,58469,58722,59770,3562,3112,2076,2279,2175,2300,1,0,1,0,0,0,0,0,1,0
0,13e4,35,2,0,0,0,0,0,77578,79724,81221,34289,38550,40600,4e3,3500,5e3,5e3,3e3,9900,0,1,0,0,0,0,0,1,0,0
0,15e4,49,-1,-1,-1,-1,-1,-1,6338,8460,1682,7898,3336,975,8470,1682,7898,3336,975,0,0,1,0,0,0,0,0,1,0,0
1,15e4,53,2,2,2,2,2,0,17790,18209,18608,20294,19828,20396,1e3,1e3,2e3,0,900,2e3,0,0,0,1,0,0,0,1,0,0
1,19e4,27,2,2,2,0,0,0,4686,5459,6214,7104,8973,10809,1e3,1e3,1e3,2e3,2e3,2e3,1,0,1,0,0,0,0,0,1,0
1,45e4,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,8e4,31,-1,-1,-1,-1,-1,0,390,390,390,390,780,390,390,390,390,780,0,0,1,0,1,0,0,0,0,1,0,0
0,26e4,31,-1,3,2,2,2,0,82274,80426,78536,94069,92447,95925,0,0,17e3,0,5015,4293,1,0,1,0,0,0,0,0,1,0
1,8e4,34,2,2,2,2,2,2,62423,63827,64682,65614,67007,68349,3e3,2500,2600,2600,2600,2e3,0,1,0,0,0,0,0,0,1,0
0,26e4,43,-1,-1,-1,-1,-1,-1,76,773,0,1703,329,248,826,0,1703,329,248,702,0,1,0,0,0,0,0,1,0,0
1,26e4,30,2,0,0,0,0,0,94114,96689,101023,93738,96218,102547,5e3,6e3,5e3,4e3,8e3,5e3,1,1,0,0,0,0,0,0,1,0
0,36e4,46,1,-1,-1,-2,-2,-2,-8,859,-820,-813,-2292,-2292,867,0,7,0,0,0,1,1,0,0,0,0,0,1,0,0
0,17e4,53,-2,-2,-2,-2,-2,-2,-200,-200,-200,0,2769,0,0,0,200,2769,0,0,1,1,0,0,0,0,0,0,1,0
0,12e4,34,1,-2,-1,-1,-1,-1,0,0,369,0,7490,941,0,369,55,7490,941,280,1,0,1,0,0,0,0,1,0,0
0,5e4,26,0,-1,0,0,0,0,5195,15371,14163,15517,14685,14016,15387,1500,2e3,1e3,2e3,2e3,1,0,1,0,0,0,0,1,0,0
1,5e4,40,-1,2,-1,-1,2,2,465,465,760,1360,518,3518,0,760,600,0,3e3,0,1,1,0,0,0,0,0,1,0,0
0,31e4,48,0,0,-1,-1,-1,2,29662,5384,4488,2630,150,335,1536,4510,2652,150,185,0,0,1,0,0,0,0,0,1,0,0
0,5e4,27,0,0,0,0,0,0,17541,18716,19098,3291,1855,540,1762,1144,66,37,158,390,0,1,0,0,0,0,0,0,1,0
0,2e4,32,1,2,0,0,0,0,19844,19238,20205,19588,20037,19880,0,1302,685,748,697,690,0,0,0,1,0,0,0,0,1,0
0,3e4,59,0,0,0,0,0,0,28170,32597,32289,31276,30428,29371,4946,2e3,1220,1232,1052,1500,1,0,0,1,0,0,0,1,0,0
1,2e4,27,0,0,2,0,0,0,20184,20702,20057,19583,19991,20446,2950,2,687,709,965,559,0,0,0,1,0,0,0,1,0,0
1,16e4,27,1,-1,-1,-2,-2,-1,0,1519,0,0,0,2755,1519,0,0,0,2755,966,1,0,1,0,0,0,0,0,1,0
0,18e4,37,1,-2,-1,0,0,0,-1279,-2329,2115,2329,850,0,0,4444,214,0,0,0,1,0,1,0,0,0,0,1,0,0
0,4e4,26,0,0,0,2,2,2,20936,20647,21561,18438,20619,17582,3e3,4e3,0,5e3,0,8e3,1,1,0,0,0,0,0,0,1,0
0,8e4,34,0,0,0,0,-2,-2,49005,49551,45930,0,0,0,2141,2150,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,2e4,33,0,0,2,0,0,0,18271,19857,19090,18500,4860,4080,2967,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,5e5,45,1,-2,-2,-2,-1,2,0,0,0,0,1899,1749,0,0,0,1899,0,70200,0,1,0,0,0,0,0,0,1,0
0,8e4,29,0,0,0,0,0,0,78293,79555,77025,76991,79066,75356,3161,4e3,3e3,3500,3100,5700,1,0,1,0,0,0,0,1,0,0
0,15e4,41,-2,-2,-2,-2,-1,-1,9682,-399,0,0,399,150,399,399,0,399,150,200,1,1,0,0,0,0,0,0,1,0
0,3e4,26,0,0,0,0,-1,-1,27594,29717,28812,28762,10404,8578,2595,1200,1020,10404,51e3,0,1,0,0,1,0,0,0,0,1,0
1,12e4,34,1,2,2,-1,-1,-1,650,625,300,475,300,325,300,0,500,300,500,300,0,1,0,0,0,0,0,0,1,0
1,7e4,27,2,2,2,0,0,2,25773,28943,28184,28449,30379,30931,3600,0,1030,2400,1200,0,1,0,1,0,0,0,0,1,0,0
0,21e4,42,1,-2,-2,-1,0,0,0,0,0,6622,6506,6511,0,0,6622,298,1e3,1179,1,0,1,0,0,0,0,1,0,0
0,8e4,30,1,2,0,0,0,0,82891,80997,81380,75374,77158,78710,0,3299,2699,3e3,2987,3100,1,0,1,0,0,0,0,1,0,0
0,9e4,29,0,0,0,0,0,0,86294,88412,89853,69362,70537,56775,4400,4111,2100,2200,2510,2e3,0,0,1,0,0,0,0,0,1,0
0,24e4,36,1,-1,0,0,0,0,0,18e3,18485,17406,19345,21134,18e3,2e3,2e3,2e3,3e3,2e3,1,1,0,0,0,0,0,0,1,0
0,28e4,31,1,-2,-2,-2,-1,-1,0,0,0,0,710,7611,0,0,0,710,7611,4750,1,1,0,0,0,0,0,0,1,0
0,15e4,33,-1,0,0,0,0,0,46006,45425,32139,53639,51873,64675,2e3,3e3,40009,5e3,2e4,62339,1,0,1,0,0,0,0,0,1,0
0,33e4,47,1,-2,-2,-1,-1,-1,0,0,0,3155,4550,1264,0,0,3155,4550,1264,813,1,0,1,0,0,0,0,1,0,0
1,24e4,30,-1,-1,-1,-1,-1,0,5354,4790,900,6849,26249,6633,4790,900,6849,26249,2200,3e3,0,1,0,0,0,0,0,0,1,0
0,13e4,34,0,0,-2,-2,-1,-1,42063,0,0,0,150,1e3,0,0,0,150,1e3,0,1,0,1,0,0,0,0,0,1,0
0,45e4,37,0,0,0,0,0,0,16259,15026,17363,11708,11329,4749,6e3,4e3,6e3,5e3,2e3,2092,0,1,0,0,0,0,0,0,1,0
1,5e4,26,-1,-1,-1,-1,2,2,526,526,526,1913,1226,1752,526,526,1913,0,1052,0,0,1,0,0,0,0,0,0,1,0
0,7e4,24,0,0,0,0,0,0,68083,50822,31179,28686,10806,11673,3012,5e3,2e3,3e3,3e3,0,1,0,0,1,0,0,0,1,0,0
0,8e4,26,0,0,0,0,0,0,33490,35908,29995,27297,21524,23005,5e3,1318,1200,2e3,2e3,2e3,0,0,1,0,0,0,0,0,1,0
0,5e4,24,-1,-1,-1,-1,-1,-1,236,4324,1861,0,1780,2581,4324,1861,0,1780,2581,2140,0,1,0,0,0,0,0,0,1,0
1,3e4,33,2,0,0,0,0,0,29742,30266,45414,21331,21987,22452,1406,1366,1e3,1e3,980,1e3,0,0,0,1,0,0,0,1,0,0
0,5e4,23,0,0,0,0,0,0,48025,47611,44249,29321,29309,29739,2122,1815,1184,1206,1411,904,0,0,1,0,0,0,0,0,1,0
1,5e4,33,0,0,0,0,0,0,14720,15743,16756,17089,17446,17825,1265,1278,611,632,668,591,1,0,1,0,0,0,0,0,1,0
1,1e5,27,0,0,0,0,0,2,53423,39096,40037,40584,43629,41432,1958,1953,1500,3700,0,1700,1,0,0,1,0,0,0,0,1,0
0,2e5,24,0,0,0,0,0,0,39723,40586,44233,45124,46252,47207,1353,4e3,1267,1500,1500,1500,1,0,1,0,0,0,0,0,1,0
0,18e4,38,1,-2,-2,-2,-2,-2,3999,2183,5828,0,2165,645,2183,5828,0,2165,645,4390,0,1,0,0,0,0,0,0,1,0
1,24e4,38,-1,-1,-1,-1,-1,-1,6916,2098,9927,3633,3603,926,2106,9951,3633,3603,926,7199,1,1,0,0,0,0,0,0,1,0
0,9e4,35,2,2,2,0,0,0,35077,37557,29355,20046,14905,15075,3407,56,603,553,430,133,1,0,0,1,0,0,0,1,0,0
0,5e4,33,0,0,0,0,0,0,16926,17749,18760,19132,19533,19936,1400,1312,684,709,728,709,1,0,1,0,0,0,0,0,1,0
0,35e4,41,0,0,0,0,0,0,349125,338832,296868,237193,233591,237351,12005,10095,8389,8474,7640,6847,0,0,0,1,0,0,0,1,0,0
1,16e4,45,0,0,0,0,0,0,131895,132154,129237,90981,92580,77184,5336,4900,2807,2898,2713,2885,0,0,1,0,0,0,0,0,1,0
1,7e4,33,0,0,0,0,0,0,66874,132127,52335,27374,27133,10721,2423,4136,1024,1215,435,186,0,1,0,0,0,0,0,0,1,0
0,3e4,38,0,0,2,0,0,0,27429,29085,29282,29270,29078,28652,2403,1200,588,588,574,0,0,1,0,0,0,0,0,1,0,0
1,2e5,33,0,0,0,0,0,2,80012,81703,83290,85085,89707,63787,2972,2952,3107,6056,0,3e3,0,0,1,0,0,0,0,0,1,0
0,18e4,28,0,0,0,0,0,-1,9853,18399,29973,42347,-53,10653,10732,22119,17012,0,10706,9659,0,1,0,0,0,0,0,0,1,0
0,5e5,38,0,0,0,0,0,0,74223,72419,64537,60228,59038,58738,3338,3022,2502,2250,2350,2200,0,0,0,1,0,0,0,1,0,0
0,21e4,39,-1,-1,-2,-2,-2,-2,7128,3605,4308,3713,5133,5749,3623,4315,3713,5133,5749,6762,0,0,1,0,0,0,0,1,0,0
1,1e5,24,3,2,2,2,0,0,100016,97562,104365,101783,101603,103457,0,8440,0,3873,7733,0,1,1,0,0,0,0,0,0,1,0
0,1e5,23,0,0,0,0,0,0,8002,7954,9777,10026,9657,9279,2e3,2e3,1e3,504,1e3,2e3,1,0,1,0,0,0,0,0,1,0
1,13e4,25,2,2,0,0,0,0,138910,119948,135259,95956,97770,92206,0,18259,3456,3770,3706,3708,1,0,1,0,0,0,0,0,1,0
1,1e4,21,0,0,0,0,0,0,9042,10038,9784,9984,9780,0,1305,1e3,200,196,0,0,0,0,1,0,0,0,0,0,1,0
0,24e4,37,0,0,0,0,0,0,191748,169943,137358,132792,135652,139389,7e3,4883,4753,5e3,6e3,6e3,0,1,0,0,0,0,0,1,0,0
0,2e4,53,0,0,0,-2,-2,-2,12237,12870,0,0,0,0,1e3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,2e4,38,-1,-1,-1,-2,-1,-1,1925,500,0,0,6360,11220,500,0,0,6360,11220,0,1,1,0,0,0,0,0,1,0,0
0,23e4,36,-1,-1,2,2,2,0,3872,5376,3878,4824,2720,1526,2e3,397,2720,0,1e3,435,0,0,1,0,0,0,0,1,0,0
0,5e4,26,-1,0,0,0,0,0,49713,50581,46567,27211,28274,29005,2e3,2e3,1e3,1500,1500,2e3,0,0,1,0,0,0,0,0,1,0
0,3e5,35,0,0,0,-1,-1,-1,10911,18463,16022,10880,2558,2324,12042,6191,10892,2558,2332,4099,1,0,1,0,0,0,0,1,0,0
0,11e4,54,-1,-1,-1,-1,-1,2,316,316,632,150,632,166,316,632,150,632,0,0,1,0,1,0,0,0,0,0,0,1
0,23e4,33,-2,-2,-2,-2,-2,-2,4533,0,510,0,162,0,0,510,0,162,0,0,1,1,0,0,0,0,0,0,1,0
0,7e4,24,0,0,0,0,0,0,66915,68852,69390,64457,66021,67267,3167,2521,2400,2600,2614,2376,1,0,1,0,0,0,0,0,1,0
0,36e4,27,-2,-2,-2,-2,-2,-2,0,0,7365,0,0,0,0,7365,0,0,0,8665,1,1,0,0,0,0,0,1,0,0
0,12e4,48,0,0,0,0,0,-1,116183,116394,113245,48888,40241,49923,5078,2657,978,805,52169,1600,1,0,1,0,0,0,0,0,1,0
1,2e5,45,-1,-1,-1,-1,-2,-1,15127,1890,3699,367,-1530,4812,1896,3712,379,1217,9652,16,1,1,0,0,0,0,0,1,0,0
0,29e4,47,-1,-1,-1,-1,-1,-1,15485,12332,3979,7139,6448,1476,12369,4690,7160,6471,1476,6078,1,1,0,0,0,0,0,1,0,0
0,2e4,22,0,0,0,0,0,0,17503,12245,12974,14192,14096,7045,1273,1392,2e3,389,1e3,140,1,0,1,0,0,0,0,0,1,0
1,5e4,22,0,0,0,0,0,0,46687,47831,48764,47109,39415,39920,1896,1829,1924,1308,1480,1171,1,0,0,1,0,0,0,0,1,0
0,6e4,23,0,0,0,0,0,-1,3517,3277,11335,9341,6451,3592,1e3,10341,0,0,3592,3911,1,1,0,0,0,0,0,0,1,0
0,33e4,46,-1,-1,-1,-1,0,0,7401,4567,6242,24353,20219,23163,4567,6443,24353,10219,13163,5909,0,1,0,0,0,0,0,1,0,0
0,6e4,23,0,0,0,2,2,0,58844,43427,30408,30632,30021,30445,2e3,4300,1e3,0,2e3,1500,1,0,1,0,0,0,0,1,0,0
0,8e4,28,1,2,2,2,2,2,53541,54694,55297,55788,57146,58351,2600,2100,2e3,2400,2300,2315,1,1,0,0,0,0,0,0,1,0
0,45e4,32,1,-1,0,0,-2,-1,0,1042,4064,-8,-8,402,1042,3057,0,0,410,0,1,1,0,0,0,0,0,0,1,0
0,28e4,28,1,-2,-1,0,0,-1,0,0,11905,8350,2428,4662,0,11905,200,49,4662,6278,1,0,1,0,0,0,0,0,1,0
0,18e4,47,0,0,0,0,2,0,67011,69935,72031,77597,72079,66310,4e3,4e3,7501,0,3001,1e4,0,0,0,1,0,0,0,0,1,0
0,38e4,54,-1,-1,0,0,-1,-1,1630,65757,65201,39281,80561,19302,65757,1628,196,80962,19395,13452,1,0,0,1,0,0,0,1,0,0
0,12e4,29,0,0,0,0,0,0,118277,121004,118774,91369,88015,88087,6513,3740,3215,3300,3405,3303,0,0,1,0,0,0,0,0,1,0
0,33e4,34,0,0,0,0,0,0,261974,245882,228275,227974,185431,107493,15e3,10008,1e4,2e4,25e3,3500,1,1,0,0,0,0,0,0,1,0
0,21e4,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,34e4,27,0,0,0,0,0,0,281544,283173,282231,216946,216403,218209,11e3,11031,8e3,8e3,8300,7500,1,0,0,0,0,1,0,1,0,0
0,2e5,34,-1,-1,-1,-1,-1,-2,959,451,-1,605,-5,-5,452,0,606,0,0,0,0,1,0,0,0,0,0,0,1,0
0,16e4,34,0,0,2,2,-2,-2,4763,4899,697,-1373,-1773,-1773,3009,0,1373,0,0,1040,1,0,0,1,0,0,0,1,0,0
0,5e5,48,-1,-1,-1,-1,-1,-1,77461,68781,58436,9536,8302,64460,68781,58436,9536,58302,64460,14e3,1,0,1,0,0,0,0,0,1,0
0,17e4,23,-1,0,0,0,0,0,32192,32555,32292,32372,31202,31688,1608,2301,2379,2202,2688,2110,1,0,1,0,0,0,0,0,1,0
1,36e4,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,4e5,29,0,0,0,-1,-1,2,41057,11150,6298,138307,149548,148632,1300,1001,138307,16996,5010,96,0,1,0,0,0,0,0,0,1,0
0,38e4,32,-1,0,0,0,0,0,91806,100291,108245,109006,117195,121246,1e4,1e4,1e4,10001,6e3,38e3,1,1,0,0,0,0,0,0,1,0
1,5e4,29,0,0,2,0,0,-1,7334,7344,5420,4104,1596,1594,2500,0,1596,0,1594,0,0,0,0,1,0,0,0,0,1,0
0,11e4,24,1,-1,0,0,0,0,-1256,65064,66102,54275,51791,52928,68500,3114,4016,2e3,2e3,2e3,1,0,1,0,0,0,0,1,0,0
0,5e4,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,19e4,26,0,0,0,0,0,0,155260,136185,139013,140035,146365,148961,7416,6900,5100,1e4,5500,6700,0,0,1,0,0,0,0,0,1,0
0,5e4,25,0,0,0,0,2,2,46277,47713,44006,29737,30615,29975,2500,2300,2500,1500,0,1e3,0,0,0,1,0,0,0,0,1,0
1,8e4,26,0,0,0,0,0,-2,33319,32066,31875,18686,0,0,1700,1720,1002,0,0,0,1,0,1,0,0,0,0,1,0,0
